"cell_id";"guild";"record.type";"richness"
468;"plants";"NVS";1
469;"birds";"GBIF";19
470;"birds";"GBIF";20
470;"plants";"GBIF";1
471;"birds";"GBIF";20
471;"plants";"GBIF";1
472;"birds";"TIER1";14
472;"plants";"NVS";26
473;"birds";"GBIF";11
473;"birds";"TIER1";16
473;"plants";"NVS";37
474;"birds";"TIER1";14
474;"plants";"NVS";16
475;"birds";"TIER1";12
475;"plants";"NVS";17
476;"birds";"TIER1";12
476;"plants";"GBIF";1
476;"plants";"NVS";38
477;"birds";"GBIF";15
477;"plants";"NVS";30
478;"birds";"GBIF";15
479;"birds";"GBIF";8
480;"birds";"GBIF";8
481;"birds";"GBIF";21
482;"birds";"GBIF";22
483;"birds";"GBIF";25
483;"birds";"TIER1";10
483;"plants";"GBIF";1
483;"plants";"NVS";18
484;"birds";"GBIF";20
485;"birds";"GBIF";21
486;"birds";"GBIF";16
487;"birds";"GBIF";14
488;"birds";"GBIF";21
489;"birds";"GBIF";19
490;"birds";"GBIF";15
491;"birds";"GBIF";19
491;"plants";"GBIF";25
492;"birds";"GBIF";21
492;"birds";"TIER1";17
492;"plants";"NVS";18
493;"birds";"GBIF";25
493;"birds";"TIER1";11
493;"plants";"GBIF";2
493;"plants";"NVS";22
494;"birds";"GBIF";34
494;"plants";"GBIF";22
494;"plants";"NVS";4
495;"birds";"GBIF";28
495;"plants";"GBIF";1
495;"plants";"NVS";5
496;"birds";"GBIF";26
496;"birds";"TIER1";15
496;"plants";"GBIF";4
496;"plants";"NVS";36
497;"birds";"GBIF";28
497;"plants";"GBIF";29
497;"plants";"NVS";37
498;"birds";"GBIF";23
498;"plants";"GBIF";21
498;"plants";"NVS";33
499;"birds";"GBIF";20
500;"birds";"GBIF";17
501;"birds";"GBIF";22
502;"birds";"GBIF";21
503;"birds";"GBIF";20
503;"plants";"GBIF";1
504;"birds";"GBIF";16
504;"birds";"TIER1";14
504;"plants";"NVS";19
505;"birds";"GBIF";10
505;"plants";"NVS";13
506;"birds";"GBIF";9
506;"plants";"NVS";17
507;"birds";"TIER1";15
507;"plants";"GBIF";12
507;"plants";"NVS";35
508;"birds";"GBIF";13
508;"birds";"TIER1";13
508;"plants";"NVS";26
509;"birds";"GBIF";9
509;"birds";"TIER1";14
509;"plants";"GBIF";1
509;"plants";"NVS";26
511;"birds";"GBIF";9
511;"plants";"NVS";19
512;"birds";"GBIF";23
512;"plants";"NVS";26
513;"birds";"GBIF";9
515;"birds";"GBIF";16
515;"plants";"GBIF";1
516;"birds";"GBIF";15
516;"plants";"GBIF";1
517;"birds";"GBIF";18
517;"birds";"TIER1";14
517;"plants";"NVS";24
518;"birds";"GBIF";20
519;"birds";"GBIF";26
520;"birds";"GBIF";18
521;"birds";"GBIF";18
522;"birds";"GBIF";19
523;"birds";"GBIF";21
524;"birds";"GBIF";19
525;"birds";"GBIF";14
526;"birds";"GBIF";21
527;"birds";"GBIF";25
528;"birds";"GBIF";29
528;"plants";"GBIF";1
528;"plants";"NVS";15
529;"birds";"GBIF";28
529;"plants";"GBIF";24
530;"birds";"GBIF";18
530;"plants";"GBIF";19
530;"plants";"NVS";9
531;"birds";"GBIF";12
533;"birds";"GBIF";17
534;"birds";"GBIF";15
535;"birds";"GBIF";17
